label,side,time,regime,train_edge,test_edge,test_wr,test_freq,test_n,consistency,decay_pct,validated,note
after_30m & price<ema9,long,all,all,0.1232,0.1127,0.428,26.29,3244,11.252,8.5,True,long | all/all | WR 43% at 26.3/day
after_30m & price>ema9,short,all,all,0.1226,0.1152,0.424,26.2,3233,11.109,6.0,True,short | all/all | WR 42% at 26.2/day
adx>20 & roc5>0,short,all,all,0.0962,0.0997,0.418,25.19,3108,10.537,-3.7,True,short | all/all | WR 42% at 25.2/day
mom10>0 & roc5>0,short,all,all,0.117,0.1328,0.426,24.43,3014,10.397,-13.5,True,short | all/all | WR 43% at 24.4/day
price>ema21 & roc5>0,short,all,all,0.1217,0.1261,0.427,24.31,3000,10.39,-3.6,True,short | all/all | WR 43% at 24.3/day
price>ema9 & adx>20,short,all,all,0.105,0.1237,0.429,23.84,2942,10.228,-17.8,True,short | all/all | WR 43% at 23.8/day
obv_rising,long,all,all,0.0765,0.0573,0.419,24.43,3014,10.226,25.1,True,long | all/all | WR 42% at 24.4/day
obv_falling,long,all,all,0.0965,0.0736,0.415,24.59,3034,10.196,23.7,True,long | all/all | WR 42% at 24.6/day
price<ema9 & adx>20,long,all,all,0.1081,0.0953,0.428,23.58,2909,10.082,11.8,True,long | all/all | WR 43% at 23.6/day
price>ema21 & price>ema9,short,all,all,0.1283,0.1191,0.427,22.89,2824,9.772,7.2,True,short | all/all | WR 43% at 22.9/day
cci>0 & roc5>0,short,all,all,0.1264,0.1353,0.432,22.51,2777,9.722,-7.0,True,short | all/all | WR 43% at 22.5/day
obv_rising,short,all,all,0.0695,0.0544,0.395,24.43,3014,9.656,21.7,True,short | all/all | WR 40% at 24.4/day
mom10>0 & price>ema9,short,all,all,0.1164,0.1071,0.415,23.23,2867,9.65,8.0,True,short | all/all | WR 42% at 23.2/day
price<ema9 & mom10<0,long,all,all,0.0959,0.105,0.417,22.78,2811,9.492,-9.5,True,long | all/all | WR 42% at 22.8/day
price<ema9 & price<ema21,long,all,all,0.1157,0.1163,0.423,22.3,2752,9.434,-0.5,True,long | all/all | WR 42% at 22.3/day
vol>2x,long,all,all,0.0778,0.1204,0.418,22.46,2771,9.387,-54.8,True,long | all/all | WR 42% at 22.5/day
rsi50_xup,short,all,all,0.0967,0.0918,0.415,22.55,2782,9.357,5.1,True,short | all/all | WR 42% at 22.6/day
rsi50_xup,long,all,all,0.0864,0.0741,0.413,22.55,2782,9.304,14.2,True,long | all/all | WR 41% at 22.6/day
bullish_di & roc5>0,short,all,all,0.1091,0.1091,0.426,21.82,2692,9.301,0.1,True,short | all/all | WR 43% at 21.8/day
mom10<0 & roc5>0,short,all,all,0.0848,0.0683,0.409,22.58,2786,9.227,19.5,True,short | all/all | WR 41% at 22.6/day
rsi50_xdn,long,all,all,0.0973,0.0857,0.409,22.28,2749,9.119,12.0,True,long | all/all | WR 41% at 22.3/day
price<ema9 & bearish_di,long,all,all,0.124,0.1285,0.421,21.52,2656,9.062,-3.7,True,long | all/all | WR 42% at 21.5/day
stoch>80,short,all,all,0.0876,0.0939,0.424,21.06,2599,8.938,-7.2,True,short | all/all | WR 42% at 21.1/day
willr>-20,short,all,all,0.0876,0.0939,0.424,21.06,2599,8.938,-7.2,True,short | all/all | WR 42% at 21.1/day
bearish_di & price>ema9,short,all,all,0.0993,0.0771,0.412,21.63,2669,8.904,22.4,True,short | all/all | WR 41% at 21.6/day
rsi50_xdn,short,all,all,0.071,0.0572,0.399,22.28,2749,8.889,19.4,True,short | all/all | WR 40% at 22.3/day
cci>0 & price>ema9,short,all,all,0.1336,0.1174,0.425,20.89,2578,8.879,12.1,True,short | all/all | WR 42% at 20.9/day
willr>-20,long,all,all,0.0874,0.052,0.421,21.06,2599,8.867,40.5,True,long | all/all | WR 42% at 21.1/day
stoch>80,long,all,all,0.0874,0.052,0.421,21.06,2599,8.867,40.5,True,long | all/all | WR 42% at 21.1/day
price>ema9 & mom10<0,short,all,all,0.09,0.0778,0.42,20.96,2586,8.802,13.6,True,short | all/all | WR 42% at 21.0/day
vol>2x,short,all,all,0.091,0.0621,0.391,22.46,2771,8.788,31.8,True,short | all/all | WR 39% at 22.5/day
bearish_di & roc5>0,short,all,all,0.0857,0.067,0.4,21.61,2667,8.653,21.8,True,short | all/all | WR 40% at 21.6/day
bullish_di & price>ema9,long,all,all,0.0911,0.087,0.423,20.47,2526,8.653,4.5,True,long | all/all | WR 42% at 20.5/day
cci<0 & price<ema9,long,all,all,0.1153,0.1092,0.417,20.69,2553,8.635,5.2,True,long | all/all | WR 42% at 20.7/day
after_30m & rsi50_xdn,long,all,all,0.0938,0.0821,0.407,21.09,2602,8.59,12.5,True,long | all/all | WR 41% at 21.1/day
mom10>0,short,all,all,0.1088,0.119,0.42,20.42,2520,8.584,-9.4,True,short | all/all | WR 42% at 20.4/day
vwma9>21 & price<ema9,long,all,all,0.116,0.1004,0.429,19.92,2458,8.539,13.5,True,long | all/all | WR 43% at 19.9/day
mom10<0,long,all,all,0.105,0.1106,0.421,20.11,2482,8.475,-5.3,True,long | all/all | WR 42% at 20.1/day
price<ema9 & mom10>0,long,all,all,0.1018,0.0787,0.424,19.94,2460,8.446,22.7,True,long | all/all | WR 42% at 19.9/day
stoch<20,long,all,all,0.0862,0.0753,0.407,20.55,2536,8.372,12.7,True,long | all/all | WR 41% at 20.6/day
willr<-80,long,all,all,0.0862,0.0753,0.407,20.55,2536,8.372,12.7,True,long | all/all | WR 41% at 20.6/day
after_30m & cci<0 & price<ema9,long,all,all,0.1127,0.1108,0.416,20.06,2475,8.351,1.7,True,long | all/all | WR 42% at 20.1/day
price<ema9 & ema9>21,long,all,all,0.1164,0.0991,0.429,19.22,2371,8.237,14.8,True,long | all/all | WR 43% at 19.2/day
after_30m & mom10>0,short,all,all,0.1077,0.1183,0.417,19.72,2433,8.229,-9.8,True,short | all/all | WR 42% at 19.7/day
after_30m & mom10<0,long,all,all,0.1099,0.1081,0.423,19.45,2400,8.227,1.7,True,long | all/all | WR 42% at 19.4/day
price>ema21 & mom10>0,short,all,all,0.1106,0.1103,0.418,19.61,2420,8.198,0.3,True,short | all/all | WR 42% at 19.6/day
price<ema9 & roc5>0,long,all,all,0.1007,0.1274,0.43,19.04,2349,8.192,-26.5,True,long | all/all | WR 43% at 19.0/day
price<ema9 & bullish_di,long,all,all,0.0987,0.0647,0.414,19.77,2439,8.19,34.4,True,long | all/all | WR 41% at 19.8/day
after_30m & vwma9>21 & price<ema9,long,all,all,0.1186,0.0972,0.428,19.01,2346,8.137,18.0,True,long | all/all | WR 43% at 19.0/day
price>vwap & roc5>0,short,all,all,0.1226,0.1126,0.419,19.15,2363,8.024,8.2,True,short | all/all | WR 42% at 19.1/day
